author,hit_name,institute,research_area
Fangkai Yang,Fangkai Yang,NVIDIA,"artificial intelligence,knowledge representation and reasoning,answer set programming"
Jiangtong Li,Liang LI,shanghai Jiaotong University,"nanocrystals,led,quantum dots"
Wei Bi,Wei Bi,"Principal Researcher, Tencent AI LAB","nlg,dialog system,nlp,machine learning,data mining"
Xiaojiang Liu,Xiaojiang Liu,Apple,"natural language processing,data mining"
Aditya Gupta,Aditya Gupta,"Tri-State Specialists, IA","general,bariatric,foergut and advanced minimally invasive surgery"
Alex Bozarth,,,
Brendan Dwyer,Brendan Dwyer,"Associate Professor of Sport Leadership, Virginia Commonwealth University","sport leadership,sport consumer behavior,fantasy sports"
Daniel Jalova,,,
Karthik Muthuraman,Karthik Muthuraman,Meta,"machine learning,deep learning,computer vision"
Nick Pentreath,,,
Simon Plovyt,,,
Gabriela de Queiroz,Gabriela Queiroz de Melo Monteiro,"Dental School, Universidade de Pernambuco - FOP/UPE","dentistry,dental materials,biophotonics"
Saishruthi Swaminathan,Saishruthi Swaminathan,Data Scientist,data science
Patrick Titzler,,,
Xin Wu,Xin Wu,"Wayne State University, U of Michigan","materials,mechanics,mechanical engineering,manufacturing"
Hong Xu,Xin Xu,The Hong Kong Polytechnic University,"digital transformation,human-ai interaction,business analytics"
Frederick R Reiss,,,
Vijay Bommireddipalli,,,
Andrey Kutuzov,Andrey Kutuzov,University of Oslo,"computational linguistics,natural language processing,diachronic word embeddings,semantic change detection,machine learning"
Elizaveta Kuzmenko,Elizaveta Kuzmenko,University of Groningen,компьютерная лингвистика
Wouter Kouw,Wouter M. Kouw,Eindhoven University of Technology,"machine learning,bayesian filtering,variational bayes,intelligent systems"
Siddhant Srivastava,Siddhant Srivastava,ABV-Indian Institute of Information Technology and Management Gwalior,"deep learning,machine learning,computational biology,multi-objective optimization,nature inspired algorithms"
Ritu Tiwari,Ritu Tiwari,ABVIIITM GWALIOR,"robotics,artificial intelligence,soft computing"
Fábio Souza,FABIO SOUSA,Unknown affiliation,
Felix Hamborg,Felix Hamborg,"HU Berlin, DE (prev.: U. Konstanz, NII Tokyo, HP Research, IBM Research)","few shot learning,nlp,ml,media bias"
Philipp Meschenmoser,,,
Ezgi Yıldırım,Ezgi Yıldırım,"PhD, Istanbul Technical University","recommender systems,data mining,machine learning,natural language processing,machine translation"
Payam Azad,Payam Alemi,"Islamic Azad University, Urmia Branch",
Şule Gündüz Öğüdücü,Şule Gündüz Öğüdücü,Professor at Istanbul Technical University,"data mining,web mining,recommendation systems,deep learning,social network analysis"
Acer Y. C. Chang,,,
Martin Biehl,Martin Biehl,"Cross Labs, Cross Compass",artificial life
Yen Yu,Yan Yu,Tongji Hospital/Tongji University School of Medicine,spine surgery
Ryota Kanai,Ryota Kanai,Araya,"consciousness,information,brain"
Christos Karatsalos,Christos Karatsalos,National Technical University of Athens,"data science,machine learning,transfer learning,deep learning"
Yannis Panagiotakis,,,
Andrew Rosenberg,Andrew Rosenberg,Professor of Pathology University of Miami,bone and soft tissue pathology
Bhuvana Ramabhadran,Bhuvana Ramabhadran,"Manager, Google","speech recognition,statistical modeling,machine learning,spoken document retrieval"
Pedro Moreno,Pedro Moreno,google,"speech,machine learning,dialog system,semantic parsing,noise robustness"
Zelin Wu,Zelin Wu,Google,"speech,natural language processing"
Avinash Madasu,Avinash Madasu,University of North Carolina at Chapel Hill,artificial intelligence
Reuben Tan,,,
Huijuan Xu,Huijuan Xu,"Assistant Professor, CSE Dept., Pennsylvania State University","computer vision,deep learning,natural language processing,action understanding"
Kate Saenko,Kate Saenko,Boston University & MIT-IBM Watson AI Lab,"computer vision,machine learning,artificial intelligence,domain adaptation,vision and language"
Bryan A. Plummer,Bryan A. Plummer,"Assistant Professor, Boston University","computer vision,machine learning,natural language processing"
Maarten Van Segbroeck,Maarten Van Segbroeck,Amazon,"machine learning,deep learning,artificial intelligence,signal processing,speech recognition"
Ahmed Zaid,Ahmed Zaid,"Asso. Prof. Faculty of Medicine, University of Tripoli, Libya","biochemistry,molecular genetics"
Ksenia Kutsenko,,,
Cirenia Huerta,,,
Tinh Nguyen,Tinh Nguyen,"Vietnam Academy of Science and Technology, Hanoi, Vietnam","adaptive control,robotics,nonlinear control"
Xuewen Luo,,,
Björn Hoffmeister,Björn Hoffmeister,Amazon,"machine learning,artificial intelligence,automatic speech recognition,conversational ai"
Maurizio Omologo,Maurizio Omologo,"Principal Applied Scientist, Amazon Alexa, Italy and USA",
Roland Maas,Roland Maas,Melb Uni,geology
Mengdi Zhu,Marissa Mengdi Zhu,"PhD Candidate, Michigan State University","intercultural competence,global learning,self-regulated learning,teacher noticing,mathematics education"
Zheye Deng,,,
Alane Suhr,Alane Suhr,Cornell University,natural language processing
Mansour Saffar Mehrjardi,Mansour Saffar Mehrjardi,Unknown affiliation,"machine learning,natural language processing,conversational ai"
Amine Trabelsi,Amine Trabelsi,Assistant Professor at Lakehead University,"artificial intelligence,applied machine learning,natural language processing,data mining,opinion mining"
Osmar R. Zaiane,,,
Pedro Uria Rodriguez,,,
Christopher M. Ormerod,,,
Xiaoqi Jiao,Xiaoqi Jiao,Huazhong University of Science and Technology,"natural language processing,deep learning"
Linlin Li,Linlin Li,Beijing Institute of Nanoenergy and Nanosystems,cancer therapy
Fang Wang,Fang Wang,Brunel University,"artificial intelligence,intelligent distributed computing"
Betty van Aken,Betty van Aken,"Research Assistant, Berliner Hochschule für Technik (BHT)","deep learning,natural language processing,explainability,clinical text mining"
Benjamin Winter,Benjamin Winter,Beuth University of Applied Sciences,"maschine learning,artificial intelligence,neural networks,transformers"
Alexander Löser,Alexander Löser,Professor for Data Science and Text-based Information Systems,"clinical text mining,machine reading,language technology"
Felix A. Gers,,,
Diego Antognini,Diego Antognini,IBM Research - AI,"natural language processing,machine learning,artificial intelligence"
Boi Faltings,Boi Faltings,EPFL,
Huapu Pan,Huapu Pan,University of Virginia,"photodiode,optical communication"
Penghui Wei,Penghui Wei,Alimama Tech @ Alibaba Group,"information retrieval,computational advertising,natural language generation,transfer learning"
Nan Xu,Nan Xu,Wuhan University,"photoemission spectroscopy,topological quantum states,weyl semimetal,strongly correlated systems,superconductivity"
Wenji Mao,Wenjie Mao,Gladstone Institutes,"neuroscience,epigenetics,neurodegenerative diseases"
Shobhit Jain,Shobhit Jain,"Department of Computer Science, University of Toronto",
Ramesh Nallapati,Ramesh Maruthi Nallapati,"Principal Applied Scientist, Amazon AWS AI","artificial intelligence,deep learning,natural language processing,question answering,summarization"
Jacob Deasy,Jacob Deasy,"PhD Student, University of Cambridge","deep learning,machine learning,electronic health records,time series analysis"
Pietro Liò,"P. Lió, Pietro Lio, P. Lio, Pietro Liò, Pietro Lio'",University of Cambridge,
Ari Ercole,Ari Ercole,University of Cambridge,"intensive care,data science"
Zhouyuan Huo,Zhouyuan Huo,"Research Scientist, Google","distributed machine learning,deep learning,federated learning"
Wenlin Wang,Wenlin Wang,Facebook Inc,"statistical machine learning,deep learning,natural language processing"
Heng Huang,Heng Huang,"John A. Jurenko Endowed Professor, Electrical and Computer Engineering, University of Pittsburgh","machine learning & big data mining,bioinformatics & system biology,computer vision,neuroinformatics,health informatics"
Neus Català,Neus Català,"Computer Science Dept., Universitat Politècnica de Catalunya","artificial intelligence,natural language processing"
Mario Martin,Mario Martin,Universitat Politecnica de Catalunya,"artificial intelligence,machine learning"
Riccardo Cappuzzo,Riccardo Cappuzzo,PhD Student at Eurecom,
Paolo Papotti,Paolo Papotti,Associate Professor at EURECOM,"data management,information quality"
Saravanan Thirumuruganathan,Saravanan Thirumuruganathan,"Qatar Computing Research Institute, HBKU","data cleaning,databases,machine learning,data mining"
Jing Qian,Jing Qian,Flinders university,biology
Anna Bethke,Anna Bethke,Senior Data Scientist,ai ethics
Yinyin Liu,Yinyin Liu,Unknown affiliation,"ai,ml,neural networks,robitics,neuromorphic computing"
Elizabeth Belding,Elizabeth Belding,UC Santa Barbara,"mobile networking,wireless networks,ict4d"
Xinyuan Lu,,,
Yuhong Guo,Yuhong Guo,"Professor,  Carleton University","machine learning,natural language processing,computer vision"
Mahdi Rabbani,Mahdi Rabbani,Search Results Web results  Nanjing University of Science and Technology,deep learning in cybersecurity
SeyedValyAllah Ayobi,seyedvalyallah ayobi,Nanjing university of science and technology,"cybersecurity,data mining,nlp"
Yuan Zhang,Yuan Zhang,"Department of Immunology, Institute of Basic Medical Sciences, Chinese Academy of Medical Sciences",
Jason Baldridge,Jason Baldridge,"Research Scientist, Google","grounded language understanding,natural language processing,computer vision"
Craig Olson,Craig A. Olsson,The Royal Children's Hospital Melbourne,lifecourse epidemiology
Yuliya Lierler,Yuliya Lierler,"Professor of Computer Science, University of Nebraska at Omaha","artificial intelligence,natural language understanding,knowledge representation and reasoning,constraint programming"
Newres Al Haider,Newres Al Haider,"Lero, University College Dublin","software engineering,specification mining,dynamic analysis,ontologies"
Dilhan Thilakarathne,Dilhan Thilakarathne,VU University Amsterdam,"artificial intelligence,cognitive science,collective intelligence"
Joost Bosman,Joost Bosman,TNO,
Juri Opitz,Juri Opitz,Heidelberg University,
Gonçalo M. Correia,Gonçalo M. Correia,Instituto de Telecomunicações,"machine learning,deep learning,representation learning"
Vlad Niculae,Vlad Niculae,University of Amsterdam,"structured prediction,natural language processing,machine learning"
Lesandro Ponciano,Lesandro Ponciano; Lesandro Ponciano dos Santos,Researcher (TU Dresden); Professor on an extended leave of absence (PUC Minas),"distributed computing,citizen science,human computation,collective intelligence"
Yue Liao,Yu-Te Liao,National Yang Ming Chiao Tung University,"analog/rf ic design,biomedical electronics"
Si Liu,Si Liu,"Researcher, Department of Computer Science, ETH Zurich",
Fei Wang,Fei Wang,Associate Professor at Cornell University,"data mining,health data science,computational medicine"
Yanjie Chen,Yanjie Chen,sensetime,computer vision
Oleksii Kuchaiev,Oleksii Kuchaiev,NVIDIA,"machine learning,deep learning,graph theory,bioinformatics"
Jason Li,Jason Li,Peter MacCallum Cancer Centre,"data science,bioinformatics,big data,cancer genomics,machine learning"
Oleksii Hrinchuk,Oleksii Hrinchuk,NVIDIA,"natural language processing,automatic speech recognition,transformers"
Ryan Leary,Ryan Leary,NVIDIA,"machine learning,speech recognition,natural language processing"
Boris Ginsburg,Boris Ginsburg,NVIDIA,"deep learning,speech recognition,speech synthesis"
Samuel Kriman,Samuel Kriman,Unknown affiliation,
Stanislav Beliaev,Stanislav Beliaev,"Saint Petersburg Electrotechnical University ""LETI"" (СПбГЭТУ «ЛЭТИ»)","machine learning,deep learning,speech synthesis,speech recognition"
Vitaly Lavrukhin,Vitaly Lavrukhin,NVIDIA,
Jack Cook,Jack Cook,Professor of Management Information Systems,mis
Patrice Castonguay,Patrice Castonguay,"Engineering Specialist, Bombardier Aerospace","parallel computing,cfd,gpus,shape optimization"
Mariya Popova,Maria Popova,"Associate Professor of Political Science, Jean Monnet Chair, McGill University","comparative politics,comparative judicial politics,post-communist politics,corruption,conspiracy"
Jocelyn Huang,,,
Jonathan M. Cohen,,,
Gregor Wiedemann,Gregor Wiedemann,Leibniz-Institute for Media Research | Hans-Bredow-Institut,"computational social science,natural language processing,text mining,mixed methods,democracy"
Steffen Remus,Steffen Remus,Universität Hamburg,"natural language processing,information retrieval,machine learning,unsupervised methods,open information extraction"
SaiKrishna Rallabandi,SaiKrishna Rallabandi,"Research Student, Carnegie Mellon University","speech synthesis,code mixing"
Lyan Verwimp,Lyan Verwimp,KU Leuven,"speech and language processing,language modeling,artificial intelligence"
Jerome R. Bellegarda,,,
Salvador Abreu,Salvador Abreu,"Professor of Computer Science, NOVA LINCS - University of Évora","parallel computing,constraint programming,metaheuristics"
Petra Hofstedt,,,
Ulrich John,John Ulrich,RAI Innovations,"mass spectrometry,pkpd,dmpk,automation,environmental"
Herbert Kuchen,Herbert Kuchen,"Professor for Practical Computer Science, University of Münster, Germany","parallel programming,declarative programming,testing,model-driven software development,e-assessment"
Dietmar Seipel,,,
Eva Sharma,Eva Sharma,Microsoft,"speech processing,natural language processing,text generation,text summarization,deep learning"
